Date,State,Confirmed Cases,Predicted Cases
1/21/2020,NJ,0,2 
1/22/2020,NJ,0,2 
1/23/2020,NJ,0,2 
1/24/2020,NJ,0,2 
1/25/2020,NJ,0,2 
1/26/2020,NJ,0,2 
1/27/2020,NJ,0,2 
1/28/2020,NJ,0,2 
1/29/2020,NJ,0,2 
1/30/2020,NJ,0,2 
1/31/2020,NJ,0,2 
2/1/2020,NJ,0,2 
2/2/2020,NJ,0,2 
2/3/2020,NJ,0,2 
2/4/2020,NJ,0,2 
2/5/2020,NJ,0,2 
2/6/2020,NJ,0,2 
2/7/2020,NJ,0,2 
2/8/2020,NJ,0,2 
2/9/2020,NJ,0,2 
2/10/2020,NJ,0,2 
2/11/2020,NJ,0,2 
2/12/2020,NJ,0,2 
2/13/2020,NJ,0,2 
2/14/2020,NJ,0,2 
2/15/2020,NJ,0,2 
2/16/2020,NJ,0,2 
2/17/2020,NJ,0,2 
2/18/2020,NJ,0,2 
2/19/2020,NJ,0,2 
2/20/2020,NJ,0,2 
2/21/2020,NJ,0,2 
2/22/2020,NJ,0,2 
2/23/2020,NJ,0,2 
2/24/2020,NJ,0,2 
2/25/2020,NJ,0,2 
2/26/2020,NJ,0,2 
2/27/2020,NJ,0,2 
2/28/2020,NJ,0,2 
2/29/2020,NJ,0,2 
3/1/2020,NJ,0,2 
3/2/2020,NJ,0,2 
3/3/2020,NJ,0,2 
3/4/2020,NJ,1,2 
3/5/2020,NJ,1,2 
3/6/2020,NJ,2,2 
3/7/2020,NJ,0,2 
3/8/2020,NJ,2,8 
3/9/2020,NJ,5,10 
3/10/2020,NJ,4,14 
3/11/2020,NJ,8,18 
3/12/2020,NJ,6,25 
3/13/2020,NJ,21,35 
3/14/2020,NJ,25,48 
3/15/2020,NJ,23,66 
3/16/2020,NJ,78,84 
3/17/2020,NJ,92,112 
3/18/2020,NJ,159,148 
3/19/2020,NJ,308,197 
3/20/2020,NJ,161,264 
3/21/2020,NJ,440,351 
3/22/2020,NJ,578,464 
3/23/2020,NJ,930,572 
3/24/2020,NJ,831,732 
3/25/2020,NJ,727,954 
3/26/2020,NJ,2474,1232 
3/27/2020,NJ,1949,1540 
3/28/2020,NJ,2299,1945 
3/29/2020,NJ,2262,2251 
3/30/2020,NJ,3250,2548 
3/31/2020,NJ,2060,2963 
4/1/2020,NJ,3559,3221 
4/2/2020,NJ,3335,3386 
4/3/2020,NJ,4305,3453 
4/4/2020,NJ,4229,3587 
4/5/2020,NJ,3381,3584 
4/6/2020,NJ,3585,3595 
4/7/2020,NJ,3326,3714 
4/8/2020,NJ,3021,3792 
4/9/2020,NJ,3590,3836 
4/10/2020,NJ,3561,3884 
4/11/2020,NJ,3563,3981 
4/12/2020,NJ,3699,4045 
4/13/2020,NJ,2734,4178 
4/14/2020,NJ,4240,4396 
4/15/2020,NJ,2206,4446 
4/16/2020,NJ,4287,4519 
4/17/2020,NJ,3150,4596 
4/18/2020,NJ,2953,4848 
4/19/2020,NJ,3881,4918 
4/20/2020,NJ,3505,4917 
4/21/2020,NJ,3581,5144 
4/22/2020,NJ,3478,5296 
4/23/2020,NJ,4124,4775 
4/24/2020,NJ,2207,4347 
4/25/2020,NJ,3327,4079 
4/26/2020,NJ,3515,3926 
4/27/2020,NJ,2150,3573 
4/28/2020,NJ,2668,3261 
4/29/2020,NJ,2408,3123 
4/30/2020,NJ,2388,3024 
5/1/2020,NJ,2538,2807 
5/2/2020,NJ,2527,2789 
5/3/2020,NJ,3027,2760 
5/4/2020,NJ,1525,2618 
5/5/2020,NJ,2324,2514 
5/6/2020,NJ,1297,2324 
5/7/2020,NJ,1745,2167 
5/8/2020,NJ,1819,2006 
5/9/2020,NJ,1631,1888 
5/10/2020,NJ,1447,1796 
5/11/2020,NJ,1413,1661 
5/12/2020,NJ,798,1554 
5/13/2020,NJ,817,1466 
5/14/2020,NJ,1144,1376 
5/15/2020,NJ,1201,1294 
5/16/2020,NJ,1184,1227 
5/17/2020,NJ,1245,1180 
5/18/2020,NJ,1705,1122 
5/19/2020,NJ,974,1073 
5/20/2020,NJ,1386,1030 
5/21/2020,NJ,1073,976 
5/22/2020,NJ,1247,931 
5/23/2020,NJ,385,898 
5/24/2020,NJ,1050,872 
5/25/2020,NJ,938,852 
5/26/2020,NJ,672,827 
5/27/2020,NJ,864,795 
5/28/2020,NJ,1187,752 
5/29/2020,NJ,1029,704 
5/30/2020,NJ,764,663 
5/31/2020,NJ,837,625 
6/1/2020,NJ,473,601 
6/2/2020,NJ,627,598 
6/3/2020,NJ,523,602 
6/4/2020,NJ,462,605 
6/5/2020,NJ,806,605 
6/6/2020,NJ,557,608 
6/7/2020,NJ,271,606 
6/8/2020,NJ,333,593 
6/9/2020,NJ,299,568 
6/10/2020,NJ,550,547 
6/11/2020,NJ,470,523 
6/12/2020,NJ,348,497 
6/13/2020,NJ,441,474 
6/14/2020,NJ,276,459 
6/15/2020,NJ,222,440 
6/16/2020,NJ,323,434 
6/17/2020,NJ,277,420 
6/18/2020,NJ,404,408 
6/19/2020,NJ,389,398 
6/20/2020,NJ,338,389 
6/21/2020,NJ,308,381 
6/22/2020,NJ,273,379 
6/23/2020,NJ,319,383 
6/24/2020,NJ,158,381 
6/25/2020,NJ,2158,372 
6/26/2020,NJ,388,360 
6/27/2020,NJ,289,352 
6/28/2020,NJ,309,348 
6/29/2020,NJ,90,336 
6/30/2020,NJ,395,322 
7/1/2020,NJ,261,314 
7/2/2020,NJ,430,310 
7/3/2020,NJ,386,308 
7/4/2020,NJ,291,309 
7/5/2020,NJ,369,312 
7/6/2020,NJ,209,312 
7/7/2020,NJ,267,313 
